Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,Mx,My,Mz
0,49.6759414672852,15.2639894485474,18.8110790252686,0.0316440172645787,-0.00732168004431261,3.16038357937886,0.00170469773001969,-0.00653985282406224,-1.06376338005066,0.00238828945753093,-0.00502613041769525,0.0770838709622599,-0.00296727707609534,0.00333302584476769,-0.000487015466205776,0,0,-0.356093347072601,0.178372910415834,-0.0974665933306241,-94.5684983760631
0.1,49.6759452819824,15.2638759613037,19.1498546600342,0.0403215358441883,-0.00317495763706859,3.36532834603204,-0.00511329621076584,-0.00636866176500931,-1.17889165878296,0.00303015357868115,-0.00544927396357249,-0.0356719465242154,-0.00296727707609534,0.00333302584476769,-0.000487015466205776,0,0,-0.355901330709457,-0.453363745952288,-0.00600084861650462,-10.2350970888861
0.2,49.6769561767578,15.2633171081543,19.4745540618896,0.0492160163715745,-0.00154583802351072,3.41368141760726,-0.00485056173056364,-0.0115157067775728,-1.27180850505829,0.00340044056676224,-0.00600306941191044,-0.158137585294449,0.00103256967850029,0.00334386574104428,-0.000105638697277755,0,0,-0.355901330709457,0.127392887549136,-0.087571438190656,-8.26063886972111
0.3,49.6788444519043,15.2627468109131,19.8294448852539,0.0553843051487208,-0.000247661426577714,3.39700352652263,-0.0170482378453016,-0.010513147339225,-1.34851384162903,0.0033718859579792,-0.00664480928907425,-0.289273272084499,0.00103256967850029,0.00334386574104428,-0.000105638697277755,0,0,-0.355786770582199,-0.805603000323071,-0.0175362327282541,-6.82016725881227
0.4,49.6809387207031,15.2634649276733,20.1549758911133,0.061999903665749,0.0044872488839915,3.32305353772967,-0.00824376661330462,-0.0114511447027327,-1.43308818340302,0.00318873828475552,-0.0072253933343685,-0.428495295619487,0.00158172566443682,0.00416588131338358,0.000153518354636617,0,0,-0.355786770582199,0.77759483508402,-0.0312454433256392,-7.51921877905423
0.5,49.6839561462402,15.2633190155029,20.4956035614014,0.068015484095552,0.0118217746681188,3.17570715471583,-0.000523088907357305,-0.0120820375159385,-1.4858136177063,0.00393261557100465,-0.00787647190276537,-0.574589050633714,0.00158172566443682,0.00416588131338358,0.000153518354636617,0,0,-0.355627775192261,0.708086744072903,-0.0107640740912539,-4.68732858704215
0.6,49.6872520446777,15.262303352356,20.7959651947021,0.0727319072462657,0.0186946712587134,3.05344596313845,-0.000618474849034101,-0.00886331684887428,-1.54761552810669,0.00481828301934386,-0.00818180548108077,-0.726953931222723,-0.000887875852640718,-0.000727981911040843,0.000309977243887261,0,0,-0.355627775192261,0.0938413786947486,0.0478776855755267,-5.49422234130433
0.7,49.6907844543457,15.2614965438843,21.1115798950195,0.0753240845822484,0.0243413729406753,2.98187398395064,-0.0125316353514791,-0.0162362195551397,-1.62141072750092,0.00566061585238837,-0.0084424247317079,-0.885627822518665,-0.000512289931066334,0.00249462714418769,-0.000286616472294554,0,0,-0.355494856834412,-0.694965500555172,-0.141861478434447,-6.5615997817976
0.8,49.6923942565918,15.2653732299805,21.3981819152832,0.0699438900965011,0.0285110371516492,2.94180830785757,-0.00806556548923254,-0.00506790494546315,-1.68845438957214,0.00607356233266938,-0.00855370524173083,-1.05083086690997,-0.000512289931066334,0.00249462714418769,-0.000286616472294554,0,0,-0.355344116687775,0.396147789667698,0.151400988107865,-5.96042394996121
0.9,49.6941566467285,15.2676134109497,21.7045135498047,0.0642075370600673,0.032433662256011,2.91119005017469,-0.012974732555449,0.00386126758530715,-1.74479591846466,0.0061029577860662,-0.00761161207971204,-1.2224853546387,-0.0022771570365876,0.00268190284259617,-0.000808160577435046,0,0,-0.355344116687775,-0.415809095212615,0.104243627340323,-5.0084648319833
1,49.6957054138184,15.2680797576904,21.9845733642578,0.0576090789277493,0.0348304380201127,2.89120571630926,-0.0131137268617749,0.01023075543344,-1.8046623468399,0.00660181921197011,-0.00586229204069476,-1.39985437908353,-0.0022771570365876,0.00268190284259617,-0.000808160577435046,0,0,-0.355341881513596,-0.146257090304876,0.0636109998717433,-5.32132989399841
1.1,49.6971168518066,15.2686014175415,22.2868461608887,0.0497899059634835,0.0346166065051008,2.87149145892618,-0.013693742454052,0.0168677642941473,-1.86210417747498,0.0066008439880959,-0.00369175215178974,-1.58315180959186,-0.0022771570365876,0.00268190284259617,-0.000808160577435046,0,0,-0.355341881513596,-0.274443336049878,0.0650824152774134,-5.10520901533508
1.2,49.6983680725098,15.2736377716064,22.5669536590576,0.0446710763024218,0.0378290239105964,2.85549504411285,-0.0064185056835413,0.0168431941419838,-1.90907907485962,0.00656207443127016,-0.00160567785371415,-1.77167195053163,0.000504259020090103,-0.001110686105676,0.000866361137013882,0,0,-0.355341881513596,0.306071940431788,-0.0178983352241139,-4.17542729624045
1.3,49.6991081237793,15.2760181427002,22.867639541626,0.0440791193549519,0.0374231083148428,2.84002339993361,-0.0118044465780258,0.00532212108373618,-1.96582412719727,0.00599592431001707,6.75814570208058e-05,-1.96548833915655,0.000504259020090103,-0.001110686105676,0.000866361137013882,0,0,-0.355931848287582,-0.478794116420801,-0.209456234015739,-5.04426260238127
1.4,49.6990394592285,15.2758598327637,23.1432247161865,0.0464321504901999,0.0382285605906077,2.8263180852071,-0.00389731046743691,-0.0134970927610996,-2.00265121459961,0.00522111808221252,0.000898827065677631,-2.16393415887534,0.000860271393321455,-0.00147124798968434,-7.15893911547028e-05,0,0,-0.355931848287582,0.788812927247159,-0.299095055390024,-3.27424000206848
1.5,49.6984481811523,15.2766733169556,23.4401626586914,0.0527644704867494,0.0409877819508166,2.81434218697429,-0.00531286559998989,-0.0175283439457419,-2.04659962654114,0.00431607519405461,0.000454222035591235,-2.367249499211,0.000860271393321455,-0.00147124798968434,-7.15893911547028e-05,0,0,-0.355980575084686,0.158428563106594,-0.0772269746415352,-3.90756605721382
