Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,Mx,My,Mz
0,25.1661529541016,-14.7989797592163,10.1245307922363,0.0117173156498121,1.01163687009519,0.0329345878824706,-0.00326857948675752,-0.00314437993802131,-0.0315887257456779,-0.0104523724552311,0.00485237659901487,2.63554615334579,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355324149131775,0.00073104639249742,-0.000147647873208739,-6.09464986804507e-05
0.2,25.1494674682617,-14.8273754119873,10.124324798584,0.0123102800746499,1.0105469897645,0.0330519584231502,-0.00489100581035018,-0.00402297684922815,-0.0329457856714725,-0.0106317088427449,0.00462827084390601,2.63423818399576,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355324149131775,-0.0595410064908616,-0.00695169375241072,-0.0604379947722168
0.4,25.1494674682617,-14.8273754119873,10.124324798584,0.0123102800746499,1.0105469897645,0.0330519584231502,-0.00489100581035018,-0.00402297684922815,-0.0329457856714725,-0.0106317088427449,0.00462827084390601,2.63423818399576,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355324149131775,0.000975495379144714,-0.000230427381678385,-0.000116681070646761
0.6,25.1286659240723,-14.8627691268921,10.1240644454956,0.0119421900255701,1.00982258970217,0.0330354251919982,-0.0165389627218246,0.000587439164519306,-0.0314365103840828,-0.0111057425664843,0.00447864568116473,2.63291056229787,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355324149131775,-0.434604710193228,0.0345261865042824,0.0671449002367235
0.8,25.1286659240723,-14.8627691268921,10.1240644454956,0.0119421900255701,1.00982258970217,0.0330354251919982,-0.0165389627218246,0.000587439164519306,-0.0314365103840828,-0.0111057425664843,0.00447864568116473,2.63291056229787,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355314910411835,-0.000135917395230351,-0.000743496000885636,5.7613712248915e-05
1,25.1120548248291,-14.8910045623779,10.1239337921143,0.0129121460720201,1.00977861868251,0.033729742218613,-0.00573354214429855,-0.000185721088200812,-0.0363212749361992,-0.0112996076746175,0.00449277162319087,2.63229671184137,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355314910411835,0.403091835354279,-0.00621247280494024,-0.217134098840913
1.2,25.1120548248291,-14.8910045623779,10.1239337921143,0.0129121460720201,1.00977861868251,0.033729742218613,-0.00573354214429855,-0.000185721088200812,-0.0363212749361992,-0.0112996076746175,0.00449277162319087,2.63229671184137,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355314910411835,4.96478125560996e-05,-0.000297796871631335,-6.31449933966616e-06
1.4,25.0954513549805,-14.9191780090332,10.1239032745361,0.0125456462126776,1.00918361512904,0.0349138371127185,-0.00386449694633484,-0.00567977037280798,-0.0352158173918724,-0.011250089801758,0.00436191701746458,2.63082793252749,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355314910411835,0.0711875165702421,-0.0422240877560911,0.0490074275756242
1.6,25.0954513549805,-14.9191780090332,10.1239032745361,0.0125456462126776,1.00918361512904,0.0349138371127185,-0.00386449694633484,-0.00567977037280798,-0.0352158173918724,-0.011250089801758,0.00436191701746458,2.63082793252749,-0.00171671784482896,0.00145445996895432,0.00222383881919086,0,0,-0.355314910411835,0.00147213068619558,-0.000194610728846214,-0.000130160269701285
1.8,25.0788917541504,-14.9473009109497,10.1240005493164,0.0114996580635112,1.00872595068841,0.0357720815767153,-0.00681670289486647,-0.0024336155038327,-0.0349668636918068,-0.0114193506868054,0.00416132084642494,2.629483391139,-0.0008269784739241,-0.000539259170182049,0.0022628188598901,0,0,-0.355314910411835,-0.109490976044448,0.0244922317766991,0.0109676178111862
