Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz,central_Mx,central_My,central_Mz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113884306605905,-0.117599666398019,0.260811196640134
0.1,4.79174757003784,-9.33640193939209,7.72155952453613,-0.0457849177153411,-0.0247159685904397,0.0957747672138407,0.00305319856852293,-0.0153725054115057,0.00586751848459244,0.00757830786773704,-0.00524040640341982,-2.66812297808131,0.00234757922589779,0.000126480939798057,0.000563141133170575,0,0,-0.503066003322601,0.227104752548739,-0.235224950815661,0.521900719677564,0,0,0,-0.640078998877898,-5.11857211882166,0.159512251236945
0.2,4.79219961166382,-9.33083629608154,7.72222423553467,-0.0863008915338518,-0.0112401160998182,0.133570437262917,-0.0171424970030785,-0.669091045856476,0.00358231551945218,-0.000783141525876095,-0.0637752014706035,-2.66716628642154,0.00234757922589779,0.000126480939798057,0.000563141133170575,0,0,-0.502906322479248,-1.52424003858945,-10.0018058527468,-0.27117099870387,-0.80989316159544,-6.62131560431571,0.0148611049221838,1.57714721472108,-8.84287009753491,-0.251113391494561
0.3,4.80731630325317,-9.32182121276855,7.73020887374878,-0.230487736211026,-0.000910563041334879,0.21770700640205,0.045808918774128,-1.17131471633911,0.00174835231155171,0.00166408920715855,-0.194788516871329,-2.6668289260017,0.000385202059987932,-0.000466329045593739,0.000131210079416633,0,0,-0.502906322479248,4.68110328795147,-7.68413668726883,0.155144668766983,1.10471618615343,-34.4427092179946,0.000637550958628066,2.31564117217195,-4.62926796232663,0.454116486153317
0.4,4.82518720626831,-9.31232166290283,7.73742914199829,-0.357952279099197,0.00295929029439973,0.290655082489143,0.0453431196510792,-1.27420914173126,0.00664041424170152,0.00423883683170098,-0.268346318311215,-2.66681689536126,0.000385202059987932,-0.000466329045593739,0.000131210079416633,0,0,-0.50273871421814,-0.097023609852446,-1.57471527734933,0.777519647804253,0.0755082301198049,-16.153369645867,0.0220322393611596,0.387595297569381,-0.861665299331518,0.72507466499617
0.5,4.84158515930176,-9.30377197265625,7.74267387390137,-0.457879472569839,0.00434203110708529,0.354911955479305,0.0578697845339775,-1.2838944196701,0.0103526115417482,0.00631625304032955,-0.319579178432377,-2.66677391925458,0.000385202059987932,-0.000466329045593739,0.000131210079416633,0,0,-0.50273871421814,0.836662581284489,-0.149041470325272,0.770605592018113,0.425448434325687,-2.36727729115537,0.000853231824882048,0.328371584881987,0.343592671119888,0.676580862219564
0.6,4.87227582931519,-9.28785991668701,7.74800395965576,-0.647275876848774,0.00717608019710883,0.486841010167994,0.0567693449556828,-1.22918307781219,0.0119495168328287,0.00988382522496947,-0.39553924665424,-2.66687528610377,0.00154636288061738,0.00105669512413442,-0.000677149277180433,0,0,-0.50273871421814,-0.190197531489824,0.83611346669834,0.555759795054043,0.0937128199040139,9.04615768709576,-0.00269895672114258,-0.00487936845252358,1.57363017984074,0.614338324309507
0.7,4.91596841812134,-9.26518726348877,7.75254821777344,-0.873627530564808,0.00757964748114283,0.653291668833295,0.0606372207403183,-1.07806432247162,0.014864274300635,0.0134970569474902,-0.465005541325166,-2.66706930733472,0.00154636288061738,0.00105669512413442,-0.000677149277180433,0,0,-0.50273871421814,0.170602155144126,2.31082805726768,0.646770926951243,-0.0662167512460618,28.9229012605584,-0.00692127409361546,-2.09891848017668,8.54045310203077,0.461003368687624
0.8,5.0731406211853,-9.18267822265625,7.76107454299927,-1.46255518049268,0.0042187330611872,1.01760515160011,0.00366003927774727,-0.112615495920181,0.0135997841134668,0.0171677604384896,-0.553062950566393,-2.66667003898617,-0.00111215165816247,0.00265698414295912,0.000215682783164084,0,0,-0.502609372138977,-4.26176991884986,14.771295866923,-0.109968967208836,-0.925998147725153,50.1829277202228,-0.0620573695675221,-2.76128534039872,10.8224444767401,-0.0699714038839645
0.9,5.17874431610107,-9.12686920166016,7.76138401031494,-1.79059026692163,0.00121338909387777,1.13401432254901,-0.0130896735936403,0.336643606424332,0.0132351266220212,0.0163098625118305,-0.546119861920462,-2.66559869181415,-0.00111215165816247,0.00265698414295912,0.000215682783164084,0,0,-0.502609372138977,-1.21673594743017,6.87391200405811,-0.00628718028141467,-0.226554102958196,62.3502696075378,-0.114690157162591,-1.57811376982838,5.4169938017175,-0.043844414849935
1,5.2390193939209,-9.09495639801025,7.76052808761597,-1.9669129477443,-0.000934590974313226,1.16212335767324,-0.0395277999341488,0.595455884933472,0.012025536969304,0.0148917502575328,-0.527447136276916,-2.664851238114,-0.00111215165816247,0.00265698414295912,0.000215682783164084,0,0,-0.502502083778381,-1.9195816440641,3.96050760170762,0.0320422521327683,-1.17774571437574,55.0280403693254,-0.113625205179693,-1.28313406260154,4.4349804656798,0.0258771195543055
1.1,5.390465259552,-9.0150146484375,7.756263256073,-2.34736587530073,-0.00488293331300895,1.19395173359759,-0.0489029884338379,0.916290760040283,0.0106772491708397,0.0111975180046416,-0.477921310956624,-2.66314788565855,-0.000356952601578087,0.00268818251788616,-0.000708332052454352,0,0,-0.502502083778381,-0.62738276145875,4.90952026276579,0.145856698407396,0.595069745003742,42.7791461491039,-0.141915635040875,0.780488815871184,4.10408417015066,0.47941576399894
1.2,5.53354263305664,-8.94132900238037,7.747887134552,-2.6869869979115,-0.00515780805224873,1.09043266790996,-0.0205336306244135,1.13183987140656,0.0168331023305653,0.00781015215243747,-0.393239955601524,-2.66102049925238,-0.00146892620250583,0.0024362204130739,0.0031789808999747,0,0,-0.502502083778381,2.25657958271926,3.29839567583285,0.685073182243103,0.374276970328743,23.0587359891696,-0.161219084339431,2.26024652631034,0.961765474493131,0.0671703002184592
1.3,5.79980897903442,-8.80338096618652,7.73908519744873,-3.09959116733858,0.000134159544448321,0.932488851870502,0.00793403666466475,1.04194712638855,0.00908787827938782,0.00655965606103042,-0.285143139646248,-2.65926026109914,-0.00146892620250583,0.0024362204130739,0.0031789808999747,0,0,-0.502502083778381,2.19338047228942,-1.37546210686553,-0.737572819100893,0.271812115436839,1.24974906044439,-0.157038814936012,1.07128982790003,-2.27767809430945,-0.391138907022974
1.4,5.97968482971191,-8.70983791351318,7.73820018768311,-3.28450821009379,0.00228196563614697,0.833725091779194,0.0063188448548317,0.834117650985718,0.00913644302636375,0.00688563515238614,-0.228435460830411,-2.65836281429066,-0.00146892620250583,0.0024362204130739,0.0031789808999747,0,0,-0.503046929836273,-0.0644037176225524,-3.17987353008872,-0.0269376079554649,-0.0559831995738238,-29.099827495787,-0.172746769861714,0.172206009521689,-3.23126425248271,-0.328484057251176
1.5,6.0731954574585,-8.66109752655029,7.73910808563232,-3.36603075510896,0.00454208724084435,0.762601720420948,0.0110470773652196,0.619570434093475,0.00240106065757565,0.00727955195446583,-0.196863679243728,-2.65771738447651,-0.0025572213344276,0.00207325397059321,0.00188776082359254,0,0,-0.503046929836273,0.363675074062033,-3.28261034877637,-0.639363036720757,0.269078498226501,-38.2517127588737,-0.181557843441671,-0.178620263813806,-4.16349602879623,-0.276005840682633
1.6,6.26592779159546,-8.56044483184814,7.74321031570435,-3.4787187977345,0.00505888046527676,0.725583361635003,0.0012365608708933,0.289874762296677,0.00384019338525828,0.00758731967644272,-0.170568908226818,-2.65717548039658,-0.0025572213344276,0.00207325397059321,0.00188776082359254,0,0,-0.503046929836273,-0.723671561411565,-5.04435056903603,0.125813304105089,-0.438355960232751,-43.891891054304,-0.165592231490231,-0.482336900035834,-5.08172041428479,0.402775808070567
