Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000831047023010116,0.010292328343876,-0.0367902619639298,0,0,0,17.1724976332957,0.0822556463913516,-1.73371073858879E-05,-1.20328057584973E-08,0.170681848417837,-6.647015935898E-08,0.249520744381597,0,0,0,0,0,0,package://octocopter/meshes/base_link.STL,0.223529411764706,0.223529411764706,0.223529411764706,1,0,0,0,0,0,0,package://octocopter/meshes/base_link.STL,,25 Pie Lock holder-49;25 Pie Lock holder-48;9-16;25 Pie Lock holder-47;9-15;9-14;8-16;9-12;8-15;8-14;9-13;30 Pie Lock holder-306;30 Pie Lock holder-302;25 Pie Lock holder-39;30 Pie Lock holder-301;30 Pie Lock holder-300;25 Pie Lock holder-45;30 Pie Lock holder-299;30 Pie Lock holder-298;30 Pie Lock holder-297;8-11;8-12;25 Pie Lock holder-38;8-13;25 Pie Lock holder-43;30 Pie Lock holder-304;30 Pie Lock holder-308;25 Pie Lock holder-46;30 Pie Lock holder-303;25 Pie Lock holder-37;30 Pie Lock holder-307;25 Pie Lock holder-42;25 Pie Lock holder-41;30 Pie Lock holder-305;9-11;25 Pie Lock holder-40;25 Pie Lock holder-44;Damping Rubber(Arris)-4;Damping Rubber(Arris)-2;GPS Holder-1;Damping Rubber(Arris)-3;Damping Plate_Rev2-1;XRotor Pro 40A-25;plate_3-1;XRotor Pro 40A-26;XRotor Pro 40A-23;XRotor Pro 40A-21;XRotor Pro 40A-22;plate_2-1;IWDR-ASHB-M-0331-0-9;IWDR-ASHB-M-0331-0-5;IWDR-ASHB-M-0331-0-8;plate-7;IWDR-ASHB-M-0331-0-10;IWDR-ASHB-M-0331-0-7;plate_4-1;XRotor Pro 40A-27;IWDR-ASHB-M-0331-0-3;Damping Rubber(Arris)-1;plate_2-2;XRotor Pro 40A-24;IWDR-ASHB-M-0331-0-4;landing Cushion-10;landing Cushion-3;landing Cushion-7;landing Cushion-6;landing Cushion-5;landing Cushion-1;landing Cushion-2;XRotor Pro 40A-9;25 Pie Lock holder-52;25 Pie Lock holder-61;25 Pie Lock holder-58;25 Pie Lock holder-64;25 Pie Lock holder-53;landing Cushion-8;25 Pie Lock holder-59;25 Pie Lock holder-51;25 Pie Lock holder-50;25 Pie Lock holder-63;25 Pie Lock holder-62;25 Pie Lock holder-56;25 Pie Lock holder-60;25 Pie Lock holder-55;25 Pie Lock holder-54;IWDR-ASHB-M-0331-0-2;landing Cushion-9;25 Pie Lock holder-57;25 Pie Lock holder-7;25 Pie Lock holder-6;30 Pie Lock holder-280;25 Pie Lock holder-3;25 Pie Lock holder-5;25 Pie Lock holder-4;25 Pie Lock holder-2;25 Pie Lock holder-1;30 Pie Lock holder-279;30 Pie Lock holder-278;30 Pie Lock holder-255;30 Pie Lock holder-274;30 Pie Lock holder-256;30 Pie Lock holder-272;30 Pie Lock holder-263;30 Pie Lock holder-257;30 Pie Lock holder-259;30 Pie Lock holder-252;30 Pie Lock holder-273;30 Pie Lock holder-246;30 Pie Lock holder-244;30 Pie Lock holder-271;30 Pie Lock holder-247;25 Pie Lock holder-8;30 Pie Lock holder-258;30 Pie Lock holder-264;30 Pie Lock holder-243;30 Pie Lock holder-265;30 Pie Lock holder-270;30 Pie Lock holder-260;30 Pie Lock holder-266;30 Pie Lock holder-248;30 Pie Lock holder-253;30 Pie Lock holder-277;30 Pie Lock holder-250;30 Pie Lock holder-245;30 Pie Lock holder-269;25 Pie Lock holder-36;25 Pie Lock holder-35;8-10;9-10;30 Pie Lock holder-295;30 Pie Lock holder-296;25 Pie Lock holder-33;25 Pie Lock holder-34;30 Pie Lock holder-293;8-9;25 Pie Lock holder-32;25 Pie Lock holder-31;25 Pie Lock holder-29;25 Pie Lock holder-22;9-7;25 Pie Lock holder-28;25 Pie Lock holder-23;8-7;30 Pie Lock holder-294;25 Pie Lock holder-26;25 Pie Lock holder-25;25 Pie Lock holder-24;25 Pie Lock holder-21;25 Pie Lock holder-19;25 Pie Lock holder-16;9-6;25 Pie Lock holder-18;9-9;25 Pie Lock holder-17;25 Pie Lock holder-15;9-8;8-8;25 Pie Lock holder-27;25 Pie Lock holder-20;25 Pie Lock holder-30;9-5;30 Pie Lock holder-292;30 Pie Lock holder-290;30 Pie Lock holder-288;30 Pie Lock holder-286;30 Pie Lock holder-284;30 Pie Lock holder-283;30 Pie Lock holder-282;9-1;25 Pie Lock holder-9;25 Pie Lock holder-11;25 Pie Lock holder-14;8-5;25 Pie Lock holder-13;25 Pie Lock holder-12;25 Pie Lock holder-10;8-2;8-4;9-2;8-3;8-1;9-4;30 Pie Lock holder-281;8-6;9-3;30 Pie Lock holder-291;30 Pie Lock holder-289;30 Pie Lock holder-287;30 Pie Lock holder-285;카본 PLATE-23;카본 PLATE-22;카본 PLATE-21;카본 PLATE-20;카본 PLATE-19;카본 PLATE-18;카본 PLATE-17;plate-2;brace plate_2-7;brace plate_2-6;brace plate_2-8;brace plate_2-5;brace plate-7;brace plate-5;30 Pie Lock holder-88;30 Pie Lock holder-87;30 Pie Lock holder-86;30 Pie Lock holder-84;30 Pie Lock holder-82;30 Pie Lock holder-80;30 Pie Lock holder-78;30 Pie Lock holder-74;30 Pie Lock holder-69;30 Pie Lock holder-72;30 Pie Lock holder-64;30 Pie Lock holder-66;30 Pie Lock holder-58;30 Pie Lock holder-57;30 Pie Lock holder-70;30 Pie Lock holder-67;brace plate-6;30 Pie Lock holder-75;30 Pie Lock holder-76;30 Pie Lock holder-68;30 Pie Lock holder-61;brace plate-8;30 Pie Lock holder-83;30 Pie Lock holder-71;30 Pie Lock holder-55;30 Pie Lock holder-56;30 Pie Lock holder-85;30 Pie Lock holder-63;30 Pie Lock holder-81;30 Pie Lock holder-79;30 Pie Lock holder-77;30 Pie Lock holder-73;30 Pie Lock holder-65;30 Pie Lock holder-62;30 Pie Lock holder-60;30 Pie Lock holder-59;30 Pie Lock holder-261;30 Pie Lock holder-254;30 Pie Lock holder-275;30 Pie Lock holder-276;30 Pie Lock holder-249;30 Pie Lock holder-242;30 Pie Lock holder-262;30 Pie Lock holder-241;30 Pie Lock holder-251;30 Pie Lock holder-267;30 Pie Lock holder-268;30 Pie Lock holder-235;30 Pie Lock holder-223;30 Pie Lock holder-222;30 Pie Lock holder-236;30 Pie Lock holder-224;30 Pie Lock holder-238;30 Pie Lock holder-230;30 Pie Lock holder-225;30 Pie Lock holder-237;30 Pie Lock holder-221;30 Pie Lock holder-231;30 Pie Lock holder-220;30 Pie Lock holder-226;30 Pie Lock holder-232;30 Pie Lock holder-218;파트1-7;파트1-1;Smart Battery Ass'y-12;30 Pie Lock holder-233;파트1-4;Smart Battery Ass'y-10;30 Pie Lock holder-227;파트1-6;30 Pie Lock holder-228;PDU-1;30 Pie Lock holder-229;Smart Battery Ass'y-13;파트1-3;30 Pie Lock holder-239;30 Pie Lock holder-219;파트1-5;파트1-2;30 Pie Lock holder-234;30 Pie Lock holder-217;GPS-1;카본 PLATE-24;Smart Battery Ass'y-11;30 Pie Lock holder-240;파트1-8;30 Pie Lock holder-50;30 Pie Lock holder-49;30 Pie Lock holder-48;30 Pie Lock holder-42;30 Pie Lock holder-47;30 Pie Lock holder-45;30 Pie Lock holder-44;30 Pie Lock holder-46;30 Pie Lock holder-43;30 Pie Lock holder-41;30 Pie Lock holder-40;30 Pie Lock holder-39;카본 PLATE-8;카본 PLATE-7;30 Pie Lock holder-32;30 Pie Lock holder-30;30 Pie Lock holder-29;30 Pie Lock holder-28;30 Pie Lock holder-26;30 Pie Lock holder-25;30 Pie Lock holder-23;카본 PLATE-5;카본 PLATE-3;카본 PLATE-4;30 Pie Lock holder-14;30 Pie Lock holder-10;30 Pie Lock holder-5;30 Pie Lock holder-16;30 Pie Lock holder-20;30 Pie Lock holder-17;카본 PLATE-2;30 Pie Lock holder-13;30 Pie Lock holder-6;30 Pie Lock holder-8;카본 PLATE-6;30 Pie Lock holder-31;30 Pie Lock holder-21;30 Pie Lock holder-19;30 Pie Lock holder-27;30 Pie Lock holder-7;30 Pie Lock holder-24;30 Pie Lock holder-22;30 Pie Lock holder-18;30 Pie Lock holder-11;30 Pie Lock holder-15;30 Pie Lock holder-12;30 Pie Lock holder-9;FCC-1;brace plate_2-3;30 Pie Lock holder-34;brace plate_2-2;brace plate-1;30 Pie Lock holder-38;brace plate_2-1;30 Pie Lock holder-37;30 Pie Lock holder-54;30 Pie Lock holder-52;30 Pie Lock holder-36;brace plate_2-4;30 Pie Lock holder-53;brace plate-2;brace plate-4;30 Pie Lock holder-51;30 Pie Lock holder-35;30 Pie Lock holder-33;brace plate-3;30 Pie Lock holder-3;30 Pie Lock holder-2;30 Pie Lock holder-1;Flying Car Frame-1;카본 PLATE-1;30 Pie Lock holder-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.01703,-4.0775E-08,2.854E-07,0,0,0,0.32543,0.00099434,8.1906E-11,3.0161E-10,0.00086424,9.0601E-05,0.00016403,0,0,0,0,0,0,package://octocopter/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link1.STL,,28 x 9.2L-1;U8 Pro 170KV-5,Origin_joint1,Axis_joint1,joint1,continuous,0.543,1.08,0.0211999999999999,1.5707963267949,1.5707963267949,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link2,0.0128203651224156,8.18864665297347E-07,-1.95988639077882E-05,0,0,0,0.325430186514461,0.000994345969249774,-3.2359839055178E-12,-6.75257409512108E-10,0.000864238024311698,9.06009645689163E-05,0.00016403507940206,0,0,0,0,0,0,package://octocopter/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link2.STL,,28 x 9.2L-6;U8 Pro 170KV-4,Origin_joint2,Axis_joint12,joint2,continuous,-0.543,-1.08,0.05105,1.5708,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link3,-0.0170318475698858,1.34450660604912E-08,2.65100659202488E-07,0,0,0,0.325443943575328,0.000992682447642904,5.0925594755783E-12,7.37427926889354E-10,0.000873517236102876,2.26700789070786E-05,0.000153225888380688,0,0,0,0,0,0,package://octocopter/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link3.STL,,28 x 9.2R-2;U8 Pro 170KV-6,Origin_joint3,Axis_joint3,joint3,continuous,0.543,0.36,0.0212,1.5889,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link4,0.0128170633520277,6.86001217942156E-07,-1.88950774042684E-05,0,0,0,0.325464855038382,0.000992674113041172,-8.60081895597461E-11,5.91945316508172E-10,0.000642960109100097,0.000336777659014752,0.00038377571653822,0,0,0,0,0,0,package://octocopter/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link4.STL,,28 x 9.2R-6;U8 Pro 170KV-8,Origin_joint4,Axis_joint32,joint4,continuous,0.54299,-1.08,0.05105,2.0709,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link5,-0.0170326526812476,7.23177261408026E-08,-2.31367864866883E-07,0,0,0,0.325458002356288,0.000992559125119234,-7.7499555122843E-10,1.52749980223957E-09,0.000642869662888396,0.000336731338394407,0.000383750986802246,0,0,0,0,0,0,package://octocopter/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link5.STL,,28 x 9.2R-1;U8 Pro 170KV-1,Origin_joint5,Axis_joint5,joint5,continuous,-0.543,1.08,0.0211999999999999,1.07064759167904,1.5707963267949,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link6,0.0128182578413902,8.84222603136919E-07,-1.89601523780669E-05,0,0,0,0.32544052873557,0.000992598799875326,-1.53193601950535E-10,-1.30263702681727E-09,0.000873434675479178,2.26767609409362E-05,0.000153224934651963,0,0,0,0,0,0,package://octocopter/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link6.STL,,28 x 9.2R-5;U8 Pro 170KV-3,Origin_joint6,Axis_joint52,joint6,continuous,-0.542998832727109,-0.359980638251914,0.05105,1.55270083377933,1.5707963267949,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link7,-0.0170303043468038,-3.07110488151352E-08,1.61479780103058E-07,0,0,0,0.325442885809236,0.00099279402452863,-1.44903984141929E-11,3.38170027290653E-10,0.000872848059967643,3.17165597551837E-05,0.000153870828404099,0,0,0,0,0,0,package://octocopter/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link7.STL,,28 x 9.2L-2;U8 Pro 170KV-2,Origin_joint7,Axis_joint7,joint7,continuous,-0.543,0.36,0.0212,1.4378,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link8,0.0128197044928833,8.09339551155475E-07,-1.9108332465434E-05,0,0,0,0.325442394886172,0.000992755627052464,-3.17070172919146E-11,1.13924485649044E-10,0.000872810381011733,3.17117538328444E-05,0.000153870138350287,0,0,0,0,0,0,package://octocopter/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://octocopter/meshes/link8.STL,,28 x 9.2L-5;U8 Pro 170KV-7,Origin_joint8,Axis_joint72,joint8,continuous,0.543,-0.35998,0.05105,1.7038,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
